Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearExp,PromotionDelay,EngagementScore,WorkloadStress,HighPerf_NoPromo,JobHopperIndex,LoyaltyScore,DissatisfactionRisk
47,0,Travel_Rarely,1225,Sales,2,4,Life Sciences,2,Female,47,4,4,Manager,2,Divorced,15972,21086,6,0,14,3,3,3,29,2,3,3,2,1,2,532.4,2,2.3333333333333335,0,0,0.1935483870967742,0.1,0
22,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,630.75,0,3.3333333333333335,0,0,0.0,0.5,0
46,0,Travel_Rarely,406,Sales,3,1,Marketing,1,Male,52,3,4,Manager,3,Married,17465,15596,3,0,12,3,4,1,23,3,3,12,9,4,9,727.7083333333334,8,2.6666666666666665,0,0,0.1,0.5,0
25,0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6,262.0,7,2.6666666666666665,0,0,0.1111111111111111,0.875,1
43,0,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,516.2727272727273,4,3.0,0,0,0.1111111111111111,0.7272727272727273,0
28,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,577.3333333333334,1,3.0,1,0,0.4166666666666667,0.5,2
51,0,Travel_Rarely,833,Research & Development,1,3,Life Sciences,3,Male,96,3,1,Research Scientist,4,Married,2723,23231,1,0,11,3,2,0,1,0,2,1,0,0,0,1361.5,1,3.0,0,0,0.02857142857142857,0.5,1
43,0,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,3,Female,83,3,3,Manufacturing Director,1,Married,10820,11535,8,0,11,3,3,1,18,1,3,8,7,0,1,569.4736842105264,8,2.3333333333333335,0,0,0.2962962962962963,0.42105263157894735,1
40,0,Travel_Rarely,118,Sales,14,2,Life Sciences,4,Female,84,3,2,Sales Executive,1,Married,4639,11262,1,0,15,3,3,1,5,2,3,5,4,1,2,773.1666666666666,4,2.6666666666666665,0,0,0.041666666666666664,0.8333333333333334,0
27,0,Travel_Rarely,205,Sales,10,3,Marketing,4,Female,98,2,2,Sales Executive,4,Married,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4,824.1428571428571,2,4.0,0,0,0.09090909090909091,0.8571428571428571,2
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,309.72727272727275,5,2.0,0,0,0.35,0.45454545454545453,2
29,0,Travel_Rarely,694,Research & Development,1,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7,1612.4,6,3.3333333333333335,0,0,0.23076923076923078,0.7,1
45,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,0,14,3,1,2,12,3,3,10,9,9,8,284.38461538461536,1,3.0,0,0,0.3103448275862069,0.7692307692307693,0
23,0,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,Male,97,3,2,Laboratory Technician,3,Single,2272,24812,0,0,14,3,2,0,5,2,3,4,3,1,2,378.6666666666667,3,2.0,0,0,0.0,0.6666666666666666,2
34,0,Travel_Frequently,669,Research & Development,1,3,Medical,4,Male,97,2,2,Healthcare Representative,1,Single,5343,25755,0,0,20,4,3,0,14,3,3,13,9,4,9,356.2,9,2.6666666666666665,0,1,0.0,0.8666666666666667,2
