iter	Passed	Remaining
0	16	3382
1	31	3090
2	44	2934
3	58	2864
4	73	2869
5	88	2848
6	103	2843
7	117	2827
8	132	2817
9	147	2808
10	161	2769
11	175	2752
12	189	2731
13	203	2699
14	220	2719
15	236	2725
16	251	2704
17	266	2691
18	281	2680
19	298	2687
20	312	2661
21	329	2663
22	343	2643
23	357	2621
24	372	2605
25	388	2599
26	403	2586
27	419	2578
28	435	2569
29	451	2558
30	468	2552
31	484	2543
32	499	2527
33	513	2507
34	529	2494
35	545	2483
36	558	2461
37	573	2444
38	589	2434
39	604	2416
40	617	2396
41	632	2378
42	647	2363
43	661	2345
44	675	2327
45	690	2311
46	706	2300
47	723	2291
48	738	2276
49	756	2270
50	773	2261
51	792	2254
52	811	2251
53	826	2235
54	841	2219
55	856	2201
56	870	2183
57	885	2167
58	901	2153
59	917	2140
60	932	2124
61	946	2106
62	962	2092
63	976	2076
64	993	2063
65	1008	2048
66	1023	2032
67	1039	2018
68	1053	2000
69	1067	1983
70	1082	1967
71	1097	1951
72	1110	1932
73	1123	1913
74	1136	1894
75	1149	1875
76	1165	1861
77	1180	1847
78	1196	1833
79	1210	1815
80	1225	1799
81	1240	1785
82	1255	1769
83	1271	1755
84	1285	1739
85	1299	1723
86	1314	1706
87	1328	1691
88	1343	1675
89	1357	1658
90	1371	1643
91	1386	1627
92	1401	1611
93	1416	1596
94	1430	1580
95	1445	1565
96	1459	1549
97	1473	1533
98	1487	1517
99	1501	1501
100	1515	1485
101	1529	1469
102	1543	1453
103	1558	1438
104	1572	1423
105	1588	1408
106	1602	1393
107	1617	1377
108	1632	1363
109	1645	1346
110	1659	1330
111	1673	1315
112	1688	1299
113	1701	1283
114	1715	1267
115	1729	1252
116	1743	1236
117	1757	1221
118	1770	1205
119	1785	1190
120	1798	1174
121	1812	1158
122	1825	1143
123	1840	1127
124	1853	1112
125	1867	1096
126	1880	1081
127	1894	1065
128	1908	1050
129	1922	1035
130	1936	1019
131	1949	1004
132	1962	988
133	1975	973
134	1989	958
135	2003	942
136	2017	927
137	2029	911
138	2043	896
139	2056	881
140	2069	866
141	2083	850
142	2096	835
143	2109	820
144	2122	805
145	2136	790
146	2149	775
147	2165	760
148	2178	745
149	2191	730
150	2206	715
151	2220	701
152	2233	686
153	2247	671
154	2262	656
155	2275	641
156	2290	627
157	2303	612
158	2316	597
159	2329	582
160	2343	567
161	2357	552
162	2373	538
163	2388	524
164	2402	509
165	2416	494
166	2429	480
167	2444	465
168	2458	451
169	2472	436
170	2486	421
171	2499	406
172	2513	392
173	2527	377
174	2540	362
175	2554	348
176	2568	333
177	2582	319
178	2596	304
179	2610	290
180	2624	275
181	2638	260
182	2652	246
183	2666	231
184	2680	217
185	2694	202
186	2708	188
187	2723	173
188	2736	159
189	2750	144
190	2764	130
191	2780	115
192	2794	101
193	2808	86
194	2821	72
195	2835	57
196	2849	43
197	2862	28
198	2876	14
199	2890	0
