iter	Passed	Remaining
0	180	180257
1	191	95789
2	203	67500
3	212	53025
4	225	44795
5	235	39044
6	242	34353
7	248	30769
8	251	27721
9	255	25275
10	258	23281
11	263	21665
12	266	20236
13	270	19031
14	274	18009
15	278	17128
16	283	16375
17	285	15589
18	289	14962
19	293	14362
20	297	13853
21	300	13367
22	304	12950
23	309	12575
24	313	12229
25	318	11915
26	322	11632
27	326	11349
28	330	11074
29	334	10804
30	338	10577
31	342	10347
32	345	10133
33	349	9931
34	353	9749
35	356	9558
36	360	9382
37	364	9232
38	368	9087
39	372	8937
40	376	8795
41	379	8662
42	383	8544
43	387	8417
44	391	8306
45	395	8196
46	398	8089
47	402	7982
48	407	7903
49	411	7823
50	415	7736
51	419	7655
52	424	7592
53	428	7513
54	433	7442
55	437	7381
56	442	7313
57	446	7244
58	449	7171
59	453	7108
60	458	7059
61	462	6995
62	466	6934
63	470	6873
64	474	6826
65	478	6768
66	482	6716
67	486	6671
68	491	6626
69	495	6581
70	499	6530
71	503	6490
72	509	6468
73	513	6422
74	516	6375
75	522	6348
76	526	6305
77	530	6266
78	532	6205
79	536	6173
80	542	6150
81	546	6121
82	551	6089
83	556	6066
84	559	6027
85	563	5992
86	568	5965
87	573	5947
88	578	5917
89	581	5883
90	586	5857
91	590	5827
92	594	5797
93	599	5777
94	603	5749
95	607	5723
96	612	5699
97	616	5672
98	620	5646
99	625	5631
100	630	5616
101	634	5589
102	638	5564
103	642	5537
104	647	5521
105	651	5496
106	655	5473
107	660	5456
108	665	5439
109	670	5421
110	673	5393
111	678	5379
112	682	5358
113	686	5337
114	692	5329
115	697	5314
116	701	5290
117	705	5271
118	710	5259
119	714	5236
120	718	5218
121	723	5203
122	726	5183
123	731	5164
124	734	5142
125	740	5133
126	744	5119
127	748	5097
128	753	5088
129	759	5081
130	763	5066
131	767	5046
132	770	5024
133	774	5007
134	778	4989
135	782	4970
136	787	4960
137	791	4943
138	795	4924
139	800	4917
140	804	4898
141	808	4882
142	811	4863
143	816	4854
144	820	4838
145	824	4824
146	828	4807
147	832	4795
148	836	4779
149	840	4762
150	844	4745
151	848	4732
152	852	4720
153	856	4705
154	860	4689
155	864	4675
156	868	4662
157	871	4645
158	875	4631
159	880	4620
160	884	4609
161	888	4597
162	893	4589
163	898	4579
164	903	4570
165	909	4567
166	913	4554
167	917	4542
168	923	4539
169	927	4529
170	931	4517
171	937	4515
172	943	4511
173	948	4501
174	952	4489
175	957	4480
176	960	4467
177	965	4456
178	969	4447
179	973	4436
180	978	4426
